District,new_SCPU: Nº installations,new_SCPU: Connection power (kW),SDateKey
Aveiro,1721,9290.08,2021-07-01
Aveiro,2501,14095.45,2022-01-01
Aveiro,2673,24020.34,2022-07-01
Aveiro,2660,12175.44,2023-01-01
Aveiro,1277,6639.68,2023-07-01
Aveiro,2130,18955.02,2024-01-01
Aveiro,1320,21066.78,2024-07-01
Beja,322,983.1899999999999,2021-07-01
Beja,364,2106.84,2022-01-01
Beja,421,2202.08,2022-07-01
Beja,570,3214.0299999999997,2023-01-01
Beja,231,1319.42,2023-07-01
Beja,474,4799.7699999999995,2024-01-01
Beja,312,4544.67,2024-07-01
Braga,3007,8572.400000000001,2021-07-01
Braga,3305,12642.46,2022-01-01
Braga,3933,19563.48,2022-07-01
Braga,5338,16425.87,2023-01-01
Braga,1808,7642.54,2023-07-01
Braga,2608,16677.49,2024-01-01
Braga,1880,15163.03,2024-07-01
Bragança,320,530.51,2021-07-01
Bragança,373,1799.55,2022-01-01
Bragança,371,1163.67,2022-07-01
Bragança,608,1850.1999999999998,2023-01-01
Bragança,265,1042.69,2023-07-01
Bragança,482,2862.96,2024-01-01
Bragança,389,1979.02,2024-07-01
Castelo Branco,440,3207.9399999999996,2021-07-01
Castelo Branco,509,3501.33,2022-01-01
Castelo Branco,648,2328.41,2022-07-01
Castelo Branco,933,2463.34,2023-01-01
Castelo Branco,363,2362.22,2023-07-01
Castelo Branco,628,4362.55,2024-01-01
Castelo Branco,507,3276.63,2024-07-01
Coimbra,1224,4289.14,2021-07-01
Coimbra,1508,5883.96,2022-01-01
Coimbra,1568,10933.130000000001,2022-07-01
Coimbra,1932,6965.68,2023-01-01
Coimbra,894,6768.429999999999,2023-07-01
Coimbra,1160,8268.35,2024-01-01
Coimbra,904,4176.400000000001,2024-07-01
Évora,509,1918.49,2021-07-01
Évora,490,1643.97,2022-01-01
Évora,470,2552.5,2022-07-01
Évora,511,2223.0299999999997,2023-01-01
Évora,256,2767.2599999999998,2023-07-01
Évora,781,6169.95,2024-01-01
Évora,454,5300.06,2024-07-01
Faro,1065,3518.39,2021-07-01
Faro,1049,4919.33,2022-01-01
Faro,1339,6168.0199999999995,2022-07-01
Faro,2117,8384.28,2023-01-01
Faro,806,3505.26,2023-07-01
Faro,1436,8412.16,2024-01-01
Faro,1038,8737.83,2024-07-01
Guarda,375,1449.79,2021-07-01
Guarda,540,1945.81,2022-01-01
Guarda,422,2004.64,2022-07-01
Guarda,499,1692.6100000000001,2023-01-01
Guarda,238,938.95,2023-07-01
Guarda,410,2002.41,2024-01-01
Guarda,302,1903.04,2024-07-01
Leiria,1377,9335.57,2021-07-01
Leiria,1791,10297.94,2022-01-01
Leiria,1963,14542.2,2022-07-01
Leiria,2405,12173.26,2023-01-01
Leiria,1077,6715.07,2023-07-01
Leiria,1822,14990.54,2024-01-01
Leiria,1442,8992.130000000001,2024-07-01
Lisboa,2678,11109.2,2021-07-01
Lisboa,2914,13895.98,2022-01-01
Lisboa,2868,14614.91,2022-07-01
Lisboa,4362,15189.529999999999,2023-01-01
Lisboa,1549,8911.09,2023-07-01
Lisboa,2667,23018.96,2024-01-01
Lisboa,1957,24122.07,2024-07-01
Portalegre,266,1408.28,2021-07-01
Portalegre,322,832.4599999999999,2022-01-01
Portalegre,281,934.54,2022-07-01
Portalegre,343,1471.04,2023-01-01
Portalegre,192,782.62,2023-07-01
Portalegre,326,3159.3199999999997,2024-01-01
Portalegre,224,4317.43,2024-07-01
Porto,3338,13520.94,2021-07-01
Porto,4085,18422.54,2022-01-01
Porto,4575,23307.48,2022-07-01
Porto,5470,18530.289999999997,2023-01-01
Porto,1927,8369.13,2023-07-01
Porto,3432,25679.27,2024-01-01
Porto,2460,20671.28,2024-07-01
Santarém,1290,6481.57,2021-07-01
Santarém,1682,9270.94,2022-01-01
Santarém,1593,8858.97,2022-07-01
Santarém,2111,8431.42,2023-01-01
Santarém,965,4782.74,2023-07-01
Santarém,1770,12255.43,2024-01-01
Santarém,1307,11990.310000000001,2024-07-01
Setúbal,2153,5788.49,2021-07-01
Setúbal,2563,6926.41,2022-01-01
Setúbal,2534,8554.67,2022-07-01
Setúbal,3645,7683.38,2023-01-01
Setúbal,1026,5132.11,2023-07-01
Setúbal,1977,14384.95,2024-01-01
Setúbal,1402,8241.53,2024-07-01
Viana do Castelo,515,1923.7499999999998,2021-07-01
Viana do Castelo,641,2170.56,2022-01-01
Viana do Castelo,991,4749.89,2022-07-01
Viana do Castelo,1275,3739.8599999999997,2023-01-01
Viana do Castelo,531,1948.25,2023-07-01
Viana do Castelo,724,4487.84,2024-01-01
Viana do Castelo,479,2794.71,2024-07-01
Vila Real,460,1517.83,2021-07-01
Vila Real,621,2277.26,2022-01-01
Vila Real,878,1959.41,2022-07-01
Vila Real,931,2009.77,2023-01-01
Vila Real,433,1082.93,2023-07-01
Vila Real,802,3379.13,2024-01-01
Vila Real,544,2375.48,2024-07-01
Viseu,1086,5335.48,2021-07-01
Viseu,1377,4517.44,2022-01-01
Viseu,1494,5690.65,2022-07-01
Viseu,1734,7026.55,2023-01-01
Viseu,886,2928.12,2023-07-01
Viseu,1561,10158.27,2024-01-01
Viseu,1066,8148.95,2024-07-01
